order_id,user_id,order_date,category,status,order_amount_usd,discount_usd
ORD-10001,U1000,2026-02-28 00:00:00,Beauty,completed,78.82,14.08
ORD-10002,U1001,2026-03-28 00:00:00,Home & Living,completed,214.24,0.0
ORD-10003,U1002,2026-03-16 00:00:00,Beauty,completed,72.36,9.67
ORD-10004,U1002,2026-04-09 00:00:00,Beauty,completed,28.53,0.0
ORD-10005,U1002,2026-04-21 00:00:00,Home & Living,completed,292.8,0.0
ORD-10006,U1002,2026-04-25 00:00:00,Electronics,completed,515.0,0.0
ORD-10007,U1002,2026-05-02 00:00:00,Sports,completed,28.35,0.0
ORD-10008,U1003,2026-02-25 00:00:00,Electronics,completed,124.99,18.11
ORD-10009,U1003,2026-03-03 00:00:00,Sports,completed,56.39,0.0
ORD-10010,U1003,2026-03-11 00:00:00,Electronics,completed,554.21,0.0
ORD-10011,U1003,2026-03-20 00:00:00,Electronics,completed,603.13,0.0
ORD-10012,U1004,2026-03-02 00:00:00,Sports,completed,26.16,0.0
ORD-10013,U1004,2026-03-10 00:00:00,Electronics,completed,100.04,15.89
ORD-10014,U1005,2026-02-25 00:00:00,Beauty,completed,44.2,6.61
ORD-10015,U1005,2026-03-13 00:00:00,Electronics,completed,484.3,64.79
ORD-10016,U1006,2026-01-09 00:00:00,Fashion,completed,115.43,0.0
ORD-10017,U1006,2026-01-23 00:00:00,Fashion,completed,91.48,9.73
ORD-10018,U1007,2026-03-21 00:00:00,Sports,completed,76.24,0.0
ORD-10019,U1010,2026-01-10 00:00:00,Beauty,completed,91.51,0.0
ORD-10020,U1010,2026-01-12 00:00:00,Home & Living,completed,319.85,0.0
ORD-10021,U1011,2026-03-31 00:00:00,Home & Living,completed,145.27,0.0
ORD-10022,U1015,2026-01-30 00:00:00,Fashion,refunded,107.59,0.0
ORD-10023,U1015,2026-02-16 00:00:00,Home & Living,completed,259.28,39.53
ORD-10024,U1015,2026-02-28 00:00:00,Home & Living,completed,88.97,0.0
ORD-10025,U1015,2026-03-16 00:00:00,Beauty,refunded,86.4,17.2
ORD-10026,U1015,2026-03-30 00:00:00,Sports,completed,31.25,3.12
ORD-10027,U1015,2026-04-03 00:00:00,Electronics,completed,196.69,0.0
ORD-10028,U1015,2026-04-08 00:00:00,Home & Living,completed,118.22,0.0
ORD-10029,U1016,2026-02-23 00:00:00,Beauty,completed,35.76,6.03
ORD-10030,U1018,2026-02-28 00:00:00,Home & Living,completed,65.15,4.46
ORD-10031,U1020,2026-03-10 00:00:00,Electronics,completed,604.76,145.75
ORD-10032,U1022,2026-01-31 00:00:00,Beauty,completed,114.52,13.45
ORD-10033,U1022,2026-02-01 00:00:00,Fashion,completed,162.76,0.0
ORD-10034,U1023,2026-02-06 00:00:00,Fashion,completed,48.47,0.0
