event_id,user_id,event_time,event_type
EV-508545,U1968,2026-01-01 08:25:00,app_open
EV-508546,U1968,2026-01-01 08:28:00,product_view
EV-508302,U2303,2026-01-01 10:22:00,app_open
EV-508303,U2303,2026-01-01 10:25:00,product_view
EV-508513,U1058,2026-01-01 14:13:00,app_open
EV-508514,U1058,2026-01-01 14:16:00,product_view
EV-507924,U2175,2026-01-01 18:11:00,app_open
EV-507925,U2175,2026-01-01 18:14:00,product_view
EV-507926,U2175,2026-01-01 18:18:00,add_to_cart
EV-508760,U1636,2026-01-01 20:16:00,app_open
EV-508761,U1636,2026-01-01 20:19:00,product_view
EV-507439,U1348,2026-01-01 22:38:00,app_open
EV-507440,U1348,2026-01-01 22:41:00,product_view
EV-508766,U2356,2026-01-01 23:48:00,app_open
EV-508767,U2356,2026-01-01 23:51:00,product_view
EV-508511,U2386,2026-01-02 01:34:00,app_open
EV-508512,U2386,2026-01-02 01:37:00,product_view
EV-508355,U1825,2026-01-02 05:33:00,app_open
EV-508356,U1825,2026-01-02 05:36:00,product_view
EV-507842,U1299,2026-01-02 07:05:00,app_open
EV-507843,U1299,2026-01-02 07:08:00,product_view
EV-507844,U1299,2026-01-02 07:12:00,add_to_cart
EV-508075,U1379,2026-01-02 09:09:00,app_open
EV-508076,U1379,2026-01-02 09:12:00,product_view
EV-508861,U1971,2026-01-02 09:44:00,app_open
EV-508862,U1971,2026-01-02 09:47:00,product_view
EV-507160,U1538,2026-01-02 10:29:00,app_open
EV-507161,U1538,2026-01-02 10:32:00,product_view
EV-508203,U1380,2026-01-02 17:48:00,app_open
EV-508204,U1380,2026-01-02 17:51:00,product_view
EV-508650,U1357,2026-01-02 23:26:00,app_open
EV-508651,U1357,2026-01-02 23:29:00,product_view
EV-507220,U1559,2026-01-03 12:04:00,app_open
EV-507221,U1559,2026-01-03 12:07:00,product_view
EV-507222,U1559,2026-01-03 12:11:00,add_to_cart
EV-505721,U1515,2026-01-03 23:35:00,app_open
EV-505722,U1515,2026-01-03 23:37:00,product_view
EV-505723,U1515,2026-01-03 23:41:00,product_view
EV-505724,U1515,2026-01-03 23:43:00,add_to_cart
EV-505725,U1515,2026-01-03 23:45:00,checkout_start
EV-507396,U1837,2026-01-04 00:20:00,app_open
EV-507397,U1837,2026-01-04 00:23:00,product_view
EV-508910,U1868,2026-01-04 02:00:00,app_open
EV-508911,U1868,2026-01-04 02:03:00,product_view
EV-508010,U2142,2026-01-04 07:24:00,app_open
EV-508011,U2142,2026-01-04 07:27:00,product_view
EV-507173,U1996,2026-01-04 23:09:00,app_open
EV-507174,U1996,2026-01-04 23:12:00,product_view
EV-507175,U1996,2026-01-04 23:16:00,add_to_cart
EV-502663,U1237,2026-01-04 23:27:00,app_open
EV-506126,U1557,2026-01-04 23:27:00,app_open
EV-502664,U1237,2026-01-04 23:31:00,product_view
EV-506127,U1557,2026-01-04 23:32:00,product_view
EV-502665,U1237,2026-01-04 23:34:00,product_view
EV-502666,U1237,2026-01-04 23:36:00,add_to_cart
EV-506128,U1557,2026-01-04 23:36:00,product_view
EV-502667,U1237,2026-01-04 23:39:00,checkout_start
EV-506129,U1557,2026-01-04 23:39:00,add_to_cart
EV-502668,U1237,2026-01-04 23:41:00,payment_success
EV-506130,U1557,2026-01-04 23:43:00,checkout_start
EV-506131,U1557,2026-01-04 23:44:00,payment_success
EV-508770,U1759,2026-01-05 08:07:00,app_open
EV-508771,U1759,2026-01-05 08:10:00,product_view
EV-508772,U1759,2026-01-05 08:14:00,add_to_cart
EV-508898,U1836,2026-01-05 13:04:00,app_open
EV-508899,U1836,2026-01-05 13:07:00,product_view
EV-508175,U2149,2026-01-05 17:37:00,app_open
EV-508176,U2149,2026-01-05 17:40:00,product_view
EV-508177,U2149,2026-01-05 17:44:00,add_to_cart
EV-508494,U1270,2026-01-05 17:56:00,app_open
EV-508495,U1270,2026-01-05 17:59:00,product_view
