user_id,signup_date,channel,country,device
U1000,2026-02-03,Paid_Social,DE,Android
U1001,2026-03-27,Paid_Social,DE,Android
U1002,2026-03-07,Organic_Search,US,iOS
U1003,2026-02-23,Paid_Social,UK,iOS
U1004,2026-01-15,Paid_Social,UK,iOS
U1005,2026-01-15,Paid_Social,FR,iOS
U1006,2026-01-06,Google_Ads,CA,Android
U1007,2026-03-19,Paid_Social,US,iOS
U1008,2026-02-24,Google_Ads,DE,Android
U1009,2026-03-05,Influencer,US,Web
U1010,2026-01-02,Influencer,UK,iOS
U1011,2026-03-29,Google_Ads,US,iOS
U1012,2026-03-16,Referral,US,iOS
U1013,2026-01-20,Organic_Search,US,Android
U1014,2026-01-17,Organic_Search,UK,Android
U1015,2026-01-17,Organic_Search,US,iOS
U1016,2026-01-28,Google_Ads,DE,Android
U1017,2026-02-17,Influencer,US,Web
U1018,2026-02-08,Organic_Search,US,iOS
U1019,2026-01-27,Referral,DE,iOS
U1020,2026-02-25,Organic_Search,US,Web
U1021,2026-01-13,Referral,US,Android
U1022,2026-01-27,Paid_Social,DE,Web
U1023,2026-02-02,Organic_Search,US,Android
U1024,2026-02-11,Paid_Social,US,Android
U1025,2026-03-12,Organic_Search,US,iOS
U1026,2026-01-18,Organic_Search,CA,Android
U1027,2026-02-16,Paid_Social,UK,Web
U1028,2026-02-23,Influencer,DE,Android
U1029,2026-01-05,Paid_Social,UK,iOS
U1030,2026-02-24,Paid_Social,US,iOS
U1031,2026-01-16,Google_Ads,US,iOS
U1032,2026-01-06,Google_Ads,DE,iOS
U1033,2026-03-27,Organic_Search,US,iOS
U1034,2026-03-28,Paid_Social,US,Android
U1035,2026-03-14,Organic_Search,US,Android
U1036,2026-01-28,Organic_Search,US,iOS
U1037,2026-01-09,Google_Ads,CA,Android
U1038,2026-03-03,Organic_Search,US,iOS
U1039,2026-02-09,Paid_Social,UK,iOS
U1040,2026-01-11,Google_Ads,US,iOS
U1041,2026-02-14,Organic_Search,CA,Android
U1042,2026-01-04,Google_Ads,US,iOS
U1043,2026-03-23,Organic_Search,US,iOS
U1044,2026-01-24,Referral,DE,iOS
U1045,2026-03-01,Paid_Social,DE,Android
U1046,2026-01-29,Influencer,US,iOS
U1047,2026-02-16,Google_Ads,US,Android
U1048,2026-02-19,Organic_Search,US,Android
U1049,2026-01-17,Google_Ads,US,Android
U1050,2026-03-29,Referral,US,Web
U1051,2026-03-11,Google_Ads,UK,iOS
U1052,2026-03-26,Influencer,US,iOS
U1053,2026-03-22,Influencer,US,Web
U1054,2026-02-23,Organic_Search,DE,iOS
U1055,2026-03-24,Organic_Search,CA,Android
U1056,2026-01-08,Google_Ads,UK,Android
U1057,2026-01-18,Paid_Social,US,Android
U1058,2026-01-05,Influencer,US,Web
U1059,2026-01-30,Referral,CA,Web
U1060,2026-02-04,Paid_Social,US,Android
U1061,2026-01-25,Organic_Search,US,iOS
U1062,2026-03-16,Influencer,UK,Web
U1063,2026-02-02,Organic_Search,UK,iOS
U1064,2026-01-26,Influencer,UK,iOS
U1065,2026-02-18,Paid_Social,US,Web
U1066,2026-01-13,Google_Ads,US,iOS
U1067,2026-03-14,Organic_Search,CA,iOS
U1068,2026-01-07,Google_Ads,US,iOS
U1069,2026-03-30,Paid_Social,DE,Web
U1070,2026-03-11,Google_Ads,DE,Android
U1071,2026-01-18,Organic_Search,UK,Android
U1072,2026-01-01,Google_Ads,US,iOS
U1073,2026-03-15,Influencer,US,Android
U1074,2026-03-05,Organic_Search,UK,Android
U1075,2026-03-07,Organic_Search,FR,iOS
U1076,2026-03-11,Organic_Search,CA,iOS
U1077,2026-01-07,Google_Ads,US,iOS
U1078,2026-02-02,Google_Ads,US,Web
U1079,2026-01-11,Paid_Social,CA,Android
U1080,2026-03-19,Organic_Search,DE,Web
U1081,2026-02-26,Paid_Social,FR,iOS
U1082,2026-01-30,Google_Ads,US,Android
U1083,2026-01-06,Paid_Social,UK,Android
U1084,2026-01-28,Referral,DE,Android
U1085,2026-01-30,Organic_Search,DE,Web
U1086,2026-03-07,Google_Ads,US,iOS
